time_mock,HotOil_Evap_in_T,HotOil_Mdot
0,48.2206,0.606862
0,48.2206,0.606862
0,48.2206,0.606862
0.2,48.2208,0.606862
0.2,48.2208,0.606862
1,48.2219,0.606862
1,48.2219,0.606862
2,48.2232,0.606862
2,48.2232,0.606862
2,48.2232,0.606862
2,48.2232,0.606862
2.2,48.2235,0.606862
2.2,48.2235,0.606862
3,48.2245,0.606862
3,48.2245,0.606862
3.2,48.2248,0.606862
3.2,48.2248,0.606862
4,48.2258,0.606862
4,48.2258,0.606862
4.2,48.2261,0.606862
4.2,48.2261,0.606862
5,48.2271,0.606862
5,48.2271,0.606862
5.2,48.2274,0.606862
5.2,48.2274,0.606862
6,48.2284,0.606862
6,48.2284,0.606862
6.2,48.2287,0.606862
6.2,48.2287,0.606862
7,48.2298,0.606862
7,48.2298,0.606862
7.2,48.23,0.606862
7.2,48.23,0.606862
8,48.2311,0.606862
8,48.2311,0.606862
8.2,48.2313,0.606862
8.2,48.2313,0.606862
9,48.2324,0.606862
9,48.2324,0.606862
9.2,48.2326,0.606862
9.2,48.2326,0.606862
10,48.2337,0.606862
10,48.2337,0.606862
10.2,48.234,0.606862
10.2,48.234,0.606862
11,48.235,0.606862
11,48.235,0.606862
11.2,48.2353,0.606862
11.2,48.2353,0.606862
12,48.2363,0.606862
12,48.2363,0.606862
12.2,48.2366,0.606862
12.2,48.2366,0.606862
13,48.2376,0.606862
13,48.2376,0.606862
13.2,48.2379,0.606862
13.2,48.2379,0.606862
14,48.2389,0.606862
14,48.2389,0.606862
14.2,48.2392,0.606862
14.2,48.2392,0.606862
15,48.2402,0.606862
15,48.2402,0.606862
15.2,48.2405,0.606862
15.2,48.2405,0.606862
16,48.2416,0.606862
16,48.2416,0.606862
16.2,48.2418,0.606862
16.2,48.2418,0.606862
17,48.2429,0.606862
17,48.2429,0.606862
17.2,48.2431,0.606862
17.2,48.2431,0.606862
18,48.2442,0.606862
18,48.2442,0.606862
18.2,48.2444,0.606862
18.2,48.2444,0.606862
19,48.2455,0.606862
19,48.2455,0.606862
19.2,48.2458,0.606862
19.2,48.2458,0.606862
20,48.2468,0.606862
20,48.2468,0.606862
20.2,48.2471,0.606862
20.2,48.2471,0.606862
21,48.2481,0.606862
21,48.2481,0.606862
21.2,48.2484,0.606862
21.2,48.2484,0.606862
22,48.2494,0.606862
22,48.2494,0.606862
22.2,48.2497,0.606862
22.2,48.2497,0.606862
23,48.2507,0.606862
23,48.2507,0.606862
23.2,48.251,0.606862
23.2,48.251,0.606862
24,48.252,0.606862
24,48.252,0.606862
24.2,48.2523,0.606862
24.2,48.2523,0.606862
25,48.2534,0.606862
25,48.2534,0.606862
25.2,48.2536,0.606862
25.2,48.2536,0.606862
26,48.2547,0.606862
26,48.2547,0.606862
26.2,48.2549,0.606862
26.2,48.2549,0.606862
27,48.256,0.606862
27,48.256,0.606862
27.2,48.2562,0.606862
27.2,48.2562,0.606862
28,48.2573,0.606862
28,48.2573,0.606862
28.2,48.2576,0.606862
28.2,48.2576,0.606862
29,48.2586,0.606862
29,48.2586,0.606862
29.2,48.2589,0.606862
29.2,48.2589,0.606862
30,48.2599,0.606862
30,48.2599,0.606862
30.2,48.2602,0.606862
30.2,48.2602,0.606862
31,48.2612,0.606862
31,48.2612,0.606862
31.2,48.2615,0.606862
31.2,48.2615,0.606862
32,48.2625,0.606862
32,48.2625,0.606862
32.2,48.2628,0.606862
32.2,48.2628,0.606862
33,48.2638,0.606862
33,48.2638,0.606862
33.2,48.2641,0.606862
33.2,48.2641,0.606862
34,48.2652,0.606862
34,48.2652,0.606862
34.2,48.2654,0.606862
34.2,48.2654,0.606862
35,48.2665,0.606862
35,48.2665,0.606862
35.2,48.2667,0.606862
35.2,48.2667,0.606862
36,48.2678,0.606862
36,48.2678,0.606862
36.2,48.268,0.606862
36.2,48.268,0.606862
37,48.2691,0.606862
37,48.2691,0.606862
37.2,48.2693,0.606862
37.2,48.2693,0.606862
38,48.2704,0.606862
38,48.2704,0.606862
38.2,48.2707,0.606862
38.2,48.2707,0.606862
39,48.2717,0.606862
39,48.2717,0.606862
39.2,48.272,0.606862
39.2,48.272,0.606862
40,48.273,0.606862
40,48.273,0.606862
40.2,48.2733,0.606862
40.2,48.2733,0.606862
41,48.2743,0.606862
41,48.2743,0.606862
41.2,48.2746,0.606862
41.2,48.2746,0.606862
42,48.2756,0.606862
42,48.2756,0.606862
42.2,48.2759,0.606862
42.2,48.2759,0.606862
43,48.277,0.606862
43,48.277,0.606862
43.2,48.2772,0.606862
43.2,48.2772,0.606862
44,48.2783,0.606862
44,48.2783,0.606862
44.2,48.2785,0.606862
44.2,48.2785,0.606862
45,48.2796,0.606862
45,48.2796,0.606862
45.2,48.2798,0.606862
45.2,48.2798,0.606862
46,48.2809,0.606862
46,48.2809,0.606862
46.2,48.2811,0.606862
46.2,48.2811,0.606862
47,48.2822,0.606862
47,48.2822,0.606862
47.2,48.2825,0.606862
47.2,48.2825,0.606862
48,48.2835,0.606862
48,48.2835,0.606862
