time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
0,376.373,369.704,302.06,369.704
0,376.373,369.704,302.06,369.704
0,376.373,369.704,302.06,369.704
1,376.373,369.704,302.06,369.704
1,376.373,369.704,302.06,369.704
5,376.373,369.704,302.06,369.704
5,376.373,369.704,302.06,369.704
5,376.373,369.704,302.06,369.704
5,376.373,369.704,302.06,369.704
6,376.373,369.704,302.06,369.704
6,376.373,369.704,302.06,369.704
10,376.373,369.704,302.06,369.704
10,376.373,369.704,302.06,369.704
11,376.373,369.704,302.06,369.704
11,376.373,369.704,302.06,369.704
15,376.373,369.704,302.06,369.704
15,376.373,369.704,302.06,369.704
16,376.373,369.704,302.06,369.704
16,376.373,369.704,302.06,369.704
20,376.373,369.704,302.06,369.704
20,376.373,369.704,302.06,369.704
21,376.373,369.704,302.06,369.704
21,376.373,369.704,302.06,369.704
25,376.373,369.704,302.06,369.704
25,376.373,369.704,302.06,369.704
26,376.373,369.704,302.06,369.704
26,376.373,369.704,302.06,369.704
30,376.373,369.704,302.06,369.704
30,376.373,369.704,302.06,369.704
31,376.373,369.704,302.06,369.704
31,376.373,369.704,302.06,369.704
35,376.373,369.704,302.06,369.704
35,376.373,369.704,302.06,369.704
36,376.373,369.704,302.06,369.704
36,376.373,369.704,302.06,369.704
40,376.373,369.704,302.06,369.704
40,376.373,369.704,302.06,369.704
41,376.373,369.704,302.06,369.704
41,376.373,369.704,302.06,369.704
45,376.373,369.704,302.06,369.704
45,376.373,369.704,302.06,369.704
46,376.373,369.704,302.06,369.704
46,376.373,369.704,302.06,369.704
50,376.373,369.704,302.06,369.704
50,376.373,369.704,302.06,369.704
51,376.373,369.704,302.06,369.704
51,376.373,369.704,302.06,369.704
55,376.373,369.704,302.06,369.704
55,376.373,369.704,302.06,369.704
56,376.373,369.704,302.06,369.704
56,376.373,369.704,302.06,369.704
60,376.373,369.704,302.06,369.704
60,376.373,369.704,302.06,369.704
61,376.373,369.704,302.06,369.704
61,376.373,369.704,302.06,369.704
65,376.373,369.704,302.06,369.704
65,376.373,369.704,302.06,369.704
66,376.373,369.704,302.06,369.704
66,376.373,369.704,302.06,369.704
70,376.373,369.704,302.06,369.704
70,376.373,369.704,302.06,369.704
71,376.373,369.704,302.06,369.704
71,376.373,369.704,302.06,369.704
75,376.373,369.704,302.06,369.704
75,376.373,369.704,302.06,369.704
76,376.373,369.704,302.06,369.704
76,376.373,369.704,302.06,369.704
80,376.373,369.704,302.06,369.704
80,376.373,369.704,302.06,369.704
81,376.373,369.704,302.06,369.704
81,376.373,369.704,302.06,369.704
85,376.373,369.704,302.06,369.704
85,376.373,369.704,302.06,369.704
86,376.373,369.704,302.06,369.704
86,376.373,369.704,302.06,369.704
90,376.373,369.704,302.06,369.704
90,376.373,369.704,302.06,369.704
91,376.373,369.704,302.06,369.704
91,376.373,369.704,302.06,369.704
95,376.373,369.704,302.06,369.704
95,376.373,369.704,302.06,369.704
96,376.373,369.704,302.06,369.704
96,376.373,369.704,302.06,369.704
100,376.373,369.704,302.06,369.704
100,376.373,369.704,302.06,369.704
101,376.373,369.704,302.06,369.704
101,376.373,369.704,302.06,369.704
105,376.373,369.704,302.06,369.704
105,376.373,369.704,302.06,369.704
106,376.373,369.704,302.06,369.704
106,376.373,369.704,302.06,369.704
110,376.373,369.704,302.06,369.704
110,376.373,369.704,302.06,369.704
111,376.373,369.704,302.06,369.704
111,376.373,369.704,302.06,369.704
115,376.373,369.704,302.06,369.704
115,376.373,369.704,302.06,369.704
116,376.373,369.704,302.06,369.704
116,376.373,369.704,302.06,369.704
120,376.373,369.704,302.06,369.704
120,376.373,369.704,302.06,369.704
121,376.373,369.704,302.06,369.704
121,376.373,369.704,302.06,369.704
125,376.373,369.704,302.06,369.704
125,376.373,369.704,302.06,369.704
126,376.373,369.704,302.06,369.704
126,376.373,369.704,302.06,369.704
130,376.373,369.704,302.06,369.704
130,376.373,369.704,302.06,369.704
131,376.373,369.704,302.06,369.704
131,376.373,369.704,302.06,369.704
135,376.373,369.704,302.06,369.704
135,376.373,369.704,302.06,369.704
136,376.373,369.704,302.06,369.704
136,376.373,369.704,302.06,369.704
140,376.373,369.704,302.06,369.704
140,376.373,369.704,302.06,369.704
141,376.373,369.704,302.06,369.704
141,376.373,369.704,302.06,369.704
145,376.373,369.704,302.06,369.704
145,376.373,369.704,302.06,369.704
146,376.373,369.704,302.06,369.704
146,376.373,369.704,302.06,369.704
150,376.373,369.704,302.06,369.704
150,376.373,369.704,302.06,369.704
151,376.373,369.704,302.06,369.704
151,376.373,369.704,302.06,369.704
155,376.373,369.704,302.06,369.704
155,376.373,369.704,302.06,369.704
156,376.373,369.704,302.06,369.704
156,376.373,369.704,302.06,369.704
160,376.373,369.704,302.06,369.704
160,376.373,369.704,302.06,369.704
161,376.373,369.704,302.06,369.704
161,376.373,369.704,302.06,369.704
165,376.373,369.704,302.06,369.704
165,376.373,369.704,302.06,369.704
166,376.373,369.704,302.06,369.704
166,376.373,369.704,302.06,369.704
170,376.373,369.704,302.06,369.704
170,376.373,369.704,302.06,369.704
171,376.373,369.704,302.06,369.704
171,376.373,369.704,302.06,369.704
175,376.373,369.704,302.06,369.704
175,376.373,369.704,302.06,369.704
176,376.373,369.704,302.06,369.704
176,376.373,369.704,302.06,369.704
180,376.373,369.704,302.06,369.704
180,376.373,369.704,302.06,369.704
181,376.373,369.704,302.06,369.704
181,376.373,369.704,302.06,369.704
185,376.373,369.704,302.06,369.704
185,376.373,369.704,302.06,369.704
186,376.373,369.704,302.06,369.704
186,376.373,369.704,302.06,369.704
190,376.373,369.704,302.06,369.704
190,376.373,369.704,302.06,369.704
191,376.373,369.704,302.06,369.704
191,376.373,369.704,302.06,369.704
195,376.373,369.704,302.06,369.704
195,376.373,369.704,302.06,369.704
196,376.373,369.704,302.06,369.704
196,376.373,369.704,302.06,369.704
200,376.373,369.704,302.06,369.704
200,376.373,369.704,302.06,369.704
201,376.373,369.704,302.06,369.704
201,376.373,369.704,302.06,369.704
205,376.373,369.704,302.06,369.704
205,376.373,369.704,302.06,369.704
206,376.373,369.704,302.06,369.704
206,376.373,369.704,302.06,369.704
210,376.373,369.704,302.06,369.704
210,376.373,369.704,302.06,369.704
211,376.373,369.704,302.06,369.704
211,376.373,369.704,302.06,369.704
215,376.373,369.704,302.06,369.704
215,376.373,369.704,302.06,369.704
216,376.373,369.704,302.06,369.704
216,376.373,369.704,302.06,369.704
220,376.373,369.704,302.06,369.704
220,376.373,369.704,302.06,369.704
220,376.373,369.704,302.06,369.704
220,376.373,369.704,302.06,369.704
221,376.373,369.704,302.06,369.704
221,376.373,369.704,302.06,369.704
225,376.373,369.704,302.06,369.704
225,376.373,369.704,302.06,369.704
226,376.373,369.704,302.06,369.704
226,376.373,369.704,302.06,369.704
230,376.373,369.704,302.06,369.704
230,376.373,369.704,302.06,369.704
