time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
0,321.371,319.207,305.714,295.307,0.606862,0.083115
0,321.371,319.207,305.714,295.307,0.606862,0.083115
0,321.371,319.207,305.714,295.307,0.606862,0.083115
0.000610309,321.371,319.207,305.714,295.307,0.606862,0.083115
0.000610309,321.371,319.207,305.714,295.307,0.606862,0.083115
1,321.372,319.208,305.714,295.307,0.606862,0.083115
1,321.372,319.208,305.714,295.307,0.606862,0.083115
5,321.377,319.213,305.716,295.307,0.606862,0.083115
5,321.377,319.213,305.716,295.307,0.606862,0.083115
5,321.377,319.213,305.716,295.307,0.606862,0.083115
5,321.377,319.213,305.716,295.307,0.606862,0.083115
6,321.378,319.214,305.716,295.307,0.606862,0.083115
6,321.378,319.214,305.716,295.307,0.606862,0.083115
10,321.384,319.219,305.719,295.307,0.606862,0.083115
10,321.384,319.219,305.719,295.307,0.606862,0.083115
11,321.385,319.22,305.719,295.307,0.606862,0.083115
11,321.385,319.22,305.719,295.307,0.606862,0.083115
15,321.39,319.225,305.722,295.307,0.606862,0.083115
15,321.39,319.225,305.722,295.307,0.606862,0.083115
16,321.392,319.226,305.722,295.307,0.606862,0.083115
16,321.392,319.226,305.722,295.307,0.606862,0.083115
20,321.397,319.231,305.724,295.307,0.606862,0.083115
20,321.397,319.231,305.724,295.307,0.606862,0.083115
21,321.398,319.232,305.725,295.307,0.606862,0.083115
21,321.398,319.232,305.725,295.307,0.606862,0.083115
25,321.403,319.237,305.727,295.307,0.606862,0.083115
25,321.403,319.237,305.727,295.307,0.606862,0.083115
26,321.405,319.238,305.728,295.307,0.606862,0.083115
26,321.405,319.238,305.728,295.307,0.606862,0.083115
30,321.41,319.242,305.73,295.307,0.606862,0.083115
30,321.41,319.242,305.73,295.307,0.606862,0.083115
31,321.411,319.244,305.731,295.307,0.606862,0.083115
31,321.411,319.244,305.731,295.307,0.606862,0.083115
35,321.416,319.248,305.733,295.307,0.606862,0.083115
35,321.416,319.248,305.733,295.307,0.606862,0.083115
36,321.418,319.25,305.734,295.307,0.606862,0.083115
36,321.418,319.25,305.734,295.307,0.606862,0.083115
40,321.423,319.254,305.736,295.307,0.606862,0.083115
40,321.423,319.254,305.736,295.307,0.606862,0.083115
41,321.424,319.255,305.737,295.307,0.606862,0.083115
41,321.424,319.255,305.737,295.307,0.606862,0.083115
45,321.43,319.26,305.739,295.307,0.606862,0.083115
45,321.43,319.26,305.739,295.307,0.606862,0.083115
46,321.431,319.261,305.739,295.307,0.606862,0.083115
