time_t,RecupHP_out_T,RecupHP_out_P,Turbine_in_T,Turbine_in_P,Cycle_Mdot,HotOil_Evap_in_T,HotOil_Evap_out_T,HotOil_Mdot
0,28.910231,12.567478,99.666342,12.573155,0.08543,103.222748,96.145935,1.218944
0.5,28.891421,12.570327,99.675092,12.57894,0.085486,103.245675,96.158797,1.218504
1,28.891421,12.570327,99.675092,12.57894,0.085499,103.245675,96.158797,1.218802
1.5,28.899496,12.572189,99.678374,12.57894,0.085437,103.267225,96.181366,1.218197
2,28.892308,12.575298,99.692494,12.57894,0.085442,103.294531,96.201521,1.217749
2.5,28.892308,12.575298,99.692494,12.57894,0.0855,103.294531,96.201521,1.218287
3,28.89472,12.576722,99.701245,12.584724,0.085581,103.3303,96.212806,1.218195
3.5,28.89472,12.576722,99.701245,12.584724,0.085603,103.3303,96.212806,1.217612
4,28.896394,12.579083,99.716061,12.584724,0.085482,103.35303,96.240648,1.217446
4.5,28.896394,12.579083,99.716061,12.584724,0.085512,103.35303,96.240648,1.217703
5,28.886793,12.579979,99.713326,12.584724,0.085523,103.380926,96.268885,1.219095
5.5,28.885463,12.582228,99.738136,12.590509,0.085481,103.420434,96.277903,1.219133
6,28.885463,12.582228,99.738136,12.590509,0.08555,103.420434,96.277903,1.218751
6.5,28.890043,12.584007,99.744003,12.590509,0.085588,103.437654,96.304662,1.219942
7,28.890043,12.584007,99.744003,12.590509,0.085611,103.437654,96.304662,1.220086
7.5,28.885168,12.586112,99.752406,12.590509,0.085626,103.483115,96.329153,1.219951
8,28.895311,12.588183,99.763841,12.590509,0.085502,103.501467,96.341128,1.219508
8.5,28.895311,12.588183,99.763841,12.602078,0.085589,103.501467,96.341128,1.219342
9,28.876255,12.590179,99.756135,12.596293,0.085608,103.508945,96.36281,1.218256
9.5,28.876255,12.590179,99.756135,12.596293,0.085623,103.508945,96.36281,1.217553
10,28.888516,12.592848,99.778508,12.596293,0.085653,103.559621,96.394989,1.216779
10.5,28.879456,12.594093,99.778857,12.602078,0.085659,103.587714,96.396517,1.217054
11,28.879456,12.594093,99.778857,12.602078,0.085552,103.587714,96.396517,1.216943
11.5,28.882312,12.595439,99.792082,12.602078,0.085562,103.61566,96.43456,1.217757
12,28.882312,12.595439,99.792082,12.602078,0.085547,103.61566,96.43456,1.217504
12.5,28.885217,12.596955,99.817737,12.602078,0.085663,103.632289,96.456194,1.217937
13,28.885217,12.596955,99.817737,12.602078,0.085671,103.632289,96.456194,1.215983
13.5,28.878127,12.598111,99.824648,12.602078,0.085661,103.655906,96.472456,1.218659
14,28.879801,12.600232,99.844138,12.607862,0.085652,103.707418,96.506113,1.217333
14.5,28.879801,12.600232,99.844138,12.613647,0.085597,103.707418,96.506113,1.216417
15,28.88241,12.601962,99.85085,12.607862,0.085592,103.733543,96.532034,1.216287
15.5,28.88241,12.601962,99.85085,12.613647,0.085633,103.733543,96.532034,1.216957
16,28.875172,12.604299,99.855673,12.613647,0.085703,103.750419,96.551745,1.217151
16.5,28.870987,12.606716,99.86855,12.613647,0.085707,103.792583,96.575892,1.216315
17,28.870987,12.606716,99.86855,12.613647,0.085782,103.792583,96.575892,1.21648
17.5,28.865767,12.608443,99.882024,12.613647,0.08566,103.817232,96.608662,1.217082
18,28.865767,12.608443,99.882024,12.613647,0.085662,103.817232,96.608662,1.217364
18.5,28.865226,12.609756,99.895498,12.613647,0.085707,103.855412,96.625023,1.21642
19,28.872513,12.611509,99.917424,12.619431,0.085719,103.879323,96.661144,1.217138
19.5,28.872513,12.611509,99.917424,12.619431,0.085816,103.879323,96.661144,1.2183
20,28.86301,12.612326,99.917922,12.619431,0.085818,103.906973,96.659468,1.217666
20.5,28.86301,12.612326,99.917922,12.619431,0.085769,103.906973,96.659468,1.217874
21,28.863995,12.615343,99.936268,12.619431,0.085756,103.946333,96.699778,1.217377
21.5,28.863995,12.615343,99.936268,12.625216,0.085712,103.946333,96.699778,1.216605
22,28.851045,12.616745,99.953968,12.625216,0.085744,103.967243,96.723728,1.217417
22.5,28.857938,12.619398,99.956355,12.625216,0.085849,103.993762,96.739054,1.218269
23,28.857938,12.619398,99.956355,12.625216,0.085831,103.993762,96.739054,1.218671
23.5,28.854689,12.620586,99.978281,12.625216,0.085853,104.018756,96.764087,1.218833
24,28.854689,12.620586,99.978281,12.625216,0.085706,104.018756,96.764087,1.218968
24.5,28.851587,12.62295,99.996826,12.631,0.085749,104.038928,96.794049,1.219762
25,28.850454,12.624569,100.017609,12.631,0.08585,104.071646,96.818491,1.218611
25.5,28.850454,12.624569,100.017609,12.631,0.085873,104.071646,96.818491,1.217907
26,28.844841,12.626624,100.025365,12.631,0.085855,104.085963,96.840223,1.219004
26.5,28.844841,12.626624,100.025365,12.636785,0.085879,104.085963,96.840223,1.21768
27,28.854689,12.628039,100.03859,12.636785,0.085804,104.115336,96.876492,1.218024
27.5,28.842723,12.629969,100.064743,12.636785,0.085825,104.14456,96.895366,1.218648
28,28.842723,12.629969,100.064743,12.642569,0.085842,104.14456,96.895366,1.218133
28.5,28.832777,12.631184,100.078316,12.636785,0.085922,104.160452,96.917295,1.216694
29,28.832777,12.631184,100.078316,12.636785,0.085884,104.160452,96.917295,1.21952
29.5,28.844939,12.633324,100.091641,12.636785,0.085892,104.198189,96.949868,1.218553
30,28.835042,12.635061,100.116053,12.648354,0.085917,104.208078,96.972142,1.218034
30.5,28.835042,12.635061,100.116053,12.642569,0.08591,104.208078,96.972142,1.217632
31,28.840409,12.636771,100.126792,12.642569,0.085849,104.236663,96.992346,1.218579
31.5,28.840409,12.636771,100.126792,12.642569,0.08588,104.236663,96.992346,1.219544
32,28.84228,12.63792,100.147376,12.642569,0.085882,104.267856,97.010727,1.220108
32.5,28.84228,12.63792,100.147376,12.654138,0.085888,104.267856,97.010727,1.21913
33,28.833516,12.639647,100.162889,12.648354,0.08598,104.291226,97.042808,1.218622
33.5,28.831989,12.640826,100.185412,12.648354,0.085973,104.319024,97.061435,1.216907
34,28.831989,12.640826,100.185412,12.648354,0.085992,104.319024,97.061435,1.216686
34.5,28.822191,12.641978,100.199184,12.648354,0.086015,104.328815,97.078486,1.217627
35,28.822191,12.641978,100.199184,12.648354,0.085998,104.328815,97.078486,1.218552
35.5,28.835387,12.644759,100.223049,12.648354,0.08591,104.371422,97.104111,1.218593
36,28.82741,12.644861,100.235379,12.659923,0.085951,104.372898,97.122048,1.217968
36.5,28.82741,12.644861,100.235379,12.659923,0.086007,104.372898,97.122048,1.217855
37,28.830857,12.646591,100.250246,12.654138,0.085985,104.400942,97.146195,1.217005
37.5,28.830857,12.646591,100.250246,12.654138,0.086003,104.400942,97.146195,1.217905
38,28.834304,12.647884,100.263521,12.654138,0.086023,104.413882,97.171228,1.217967
38.5,28.828641,12.649792,100.295838,12.654138,0.086064,104.415653,97.197099,1.21735
39,28.828641,12.649792,100.295838,12.654138,0.085971,104.415653,97.197099,1.21695
39.5,28.830808,12.652185,100.3115,12.659923,0.085981,104.447288,97.217994,1.21829
40,28.830808,12.652185,100.3115,12.659923,0.085961,104.447288,97.217994,1.218266
40.5,28.836421,12.65316,100.312892,12.659923,0.085993,104.45088,97.239184,1.216819
41,28.836421,12.65316,100.312892,12.659923,0.086017,104.45088,97.239184,1.216557
41.5,28.816085,12.655573,100.347099,12.659923,0.086101,104.476956,97.265449,1.216595
42,28.826967,12.656377,100.361319,12.659923,0.086104,104.502393,97.280627,1.21838
42.5,28.826967,12.656377,100.361319,12.659923,0.086147,104.502393,97.280627,1.21704
43,28.818448,12.658278,100.381455,12.665707,0.086155,104.512085,97.298121,1.214355
43.5,28.818448,12.658278,100.381455,12.665707,0.086034,104.512085,97.298121,1.214299
44,28.819975,12.658964,100.415761,12.665707,0.086059,104.529551,97.308519,1.214055
44.5,28.815445,12.660996,100.416855,12.665707,0.086048,104.540178,97.33099,1.21519
45,28.815445,12.660996,100.416855,12.677276,0.086107,104.540178,97.33099,1.215674
45.5,28.813918,12.662031,100.435549,12.665707,0.086123,104.543327,97.362824,1.21697
