time,T_waterIn.T,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_gasIn.inlet.m_flow,T_gasOut.inlet.m_flow,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow
0,295.307,321.371,315.273,316.409,0.606862,0.606862,0.083115,0.083115
0,295.307,321.371,315.273,316.409,0.606862,0.606862,0.083115,0.083115
0,295.307,321.371,315.273,316.409,0.606862,0.606862,0.083115,0.083115
0.000610019,295.307,321.371,315.273,316.409,0.606862,0.606862,0.083115,0.083115
0.000610019,295.307,321.371,315.273,316.409,0.606862,0.606862,0.083115,0.083115
1,295.307,321.372,315.273,316.409,0.606862,0.606862,0.083115,0.0831151
1,295.307,321.372,315.273,316.409,0.606862,0.606862,0.083115,0.0831151
5,295.307,321.377,315.274,316.41,0.606862,0.606862,0.083115,0.0831158
5,295.307,321.377,315.274,316.41,0.606862,0.606862,0.083115,0.0831158
5,295.307,321.377,315.274,316.41,0.606862,0.606862,0.083115,0.0831158
5,295.307,321.377,315.274,316.41,0.606862,0.606862,0.083115,0.0831158
6,295.307,321.378,315.274,316.41,0.606862,0.606862,0.083115,0.083116
6,295.307,321.378,315.274,316.41,0.606862,0.606862,0.083115,0.083116
10,295.307,321.384,315.276,316.41,0.606862,0.606862,0.083115,0.0831167
10,295.307,321.384,315.276,316.41,0.606862,0.606862,0.083115,0.0831167
11,295.307,321.385,315.276,316.411,0.606862,0.606862,0.083115,0.0831169
11,295.307,321.385,315.276,316.411,0.606862,0.606862,0.083115,0.0831169
15,295.307,321.39,315.278,316.412,0.606862,0.606862,0.083115,0.0831175
15,295.307,321.39,315.278,316.412,0.606862,0.606862,0.083115,0.0831175
16,295.307,321.392,315.279,316.412,0.606862,0.606862,0.083115,0.0831177
16,295.307,321.392,315.279,316.412,0.606862,0.606862,0.083115,0.0831177
20,295.307,321.397,315.281,316.413,0.606862,0.606862,0.083115,0.0831182
20,295.307,321.397,315.281,316.413,0.606862,0.606862,0.083115,0.0831182
21,295.307,321.398,315.281,316.413,0.606862,0.606862,0.083115,0.0831184
21,295.307,321.398,315.281,316.413,0.606862,0.606862,0.083115,0.0831184
25,295.307,321.403,315.283,316.415,0.606862,0.606862,0.083115,0.0831189
25,295.307,321.403,315.283,316.415,0.606862,0.606862,0.083115,0.0831189
26,295.307,321.405,315.284,316.415,0.606862,0.606862,0.083115,0.083119
26,295.307,321.405,315.284,316.415,0.606862,0.606862,0.083115,0.083119
30,295.307,321.41,315.286,316.417,0.606862,0.606862,0.083115,0.0831194
30,295.307,321.41,315.286,316.417,0.606862,0.606862,0.083115,0.0831194
31,295.307,321.411,315.287,316.418,0.606862,0.606862,0.083115,0.0831195
31,295.307,321.411,315.287,316.418,0.606862,0.606862,0.083115,0.0831195
35,295.307,321.416,315.289,316.42,0.606862,0.606862,0.083115,0.0831199
35,295.307,321.416,315.289,316.42,0.606862,0.606862,0.083115,0.0831199
36,295.307,321.418,315.29,316.42,0.606862,0.606862,0.083115,0.08312
36,295.307,321.418,315.29,316.42,0.606862,0.606862,0.083115,0.08312
40,295.307,321.423,315.293,316.422,0.606862,0.606862,0.083115,0.0831203
40,295.307,321.423,315.293,316.422,0.606862,0.606862,0.083115,0.0831203
41,295.307,321.424,315.293,316.423,0.606862,0.606862,0.083115,0.0831204
41,295.307,321.424,315.293,316.423,0.606862,0.606862,0.083115,0.0831204
45,295.307,321.43,315.296,316.425,0.606862,0.606862,0.083115,0.0831207
45,295.307,321.43,315.296,316.425,0.606862,0.606862,0.083115,0.0831207
46,295.307,321.431,315.297,316.426,0.606862,0.606862,0.083115,0.0831208
46,295.307,321.431,315.297,316.426,0.606862,0.606862,0.083115,0.0831208
50,295.307,321.436,315.3,316.428,0.606862,0.606862,0.083115,0.083121
50,295.307,321.436,315.3,316.428,0.606862,0.606862,0.083115,0.083121
51,295.307,321.437,315.3,316.429,0.606862,0.606862,0.083115,0.0831211
51,295.307,321.437,315.3,316.429,0.606862,0.606862,0.083115,0.0831211
55,295.307,321.443,315.303,316.431,0.606862,0.606862,0.083115,0.0831213
55,295.307,321.443,315.303,316.431,0.606862,0.606862,0.083115,0.0831213
56,295.307,321.444,315.304,316.432,0.606862,0.606862,0.083115,0.0831214
56,295.307,321.444,315.304,316.432,0.606862,0.606862,0.083115,0.0831214
60,295.307,321.449,315.307,316.434,0.606862,0.606862,0.083115,0.0831216
60,295.307,321.449,315.307,316.434,0.606862,0.606862,0.083115,0.0831216
61,295.307,321.451,315.308,316.435,0.606862,0.606862,0.083115,0.0831216
61,295.307,321.451,315.308,316.435,0.606862,0.606862,0.083115,0.0831216
65,295.307,321.456,315.311,316.437,0.606862,0.606862,0.083115,0.0831218
65,295.307,321.456,315.311,316.437,0.606862,0.606862,0.083115,0.0831218
66,295.307,321.457,315.312,316.438,0.606862,0.606862,0.083115,0.0831218
66,295.307,321.457,315.312,316.438,0.606862,0.606862,0.083115,0.0831218
70,295.307,321.462,315.315,316.441,0.606862,0.606862,0.083115,0.083122
70,295.307,321.462,315.315,316.441,0.606862,0.606862,0.083115,0.083122
71,295.307,321.464,315.316,316.441,0.606862,0.606862,0.083115,0.083122
71,295.307,321.464,315.316,316.441,0.606862,0.606862,0.083115,0.083122
75,295.307,321.469,315.319,316.444,0.606862,0.606862,0.083115,0.0831222
75,295.307,321.469,315.319,316.444,0.606862,0.606862,0.083115,0.0831222
76,295.307,321.47,315.319,316.445,0.606862,0.606862,0.083115,0.0831222
76,295.307,321.47,315.319,316.445,0.606862,0.606862,0.083115,0.0831222
80,295.307,321.475,315.323,316.447,0.606862,0.606862,0.083115,0.0831223
80,295.307,321.475,315.323,316.447,0.606862,0.606862,0.083115,0.0831223
81,295.307,321.477,315.324,316.448,0.606862,0.606862,0.083115,0.0831223
81,295.307,321.477,315.324,316.448,0.606862,0.606862,0.083115,0.0831223
85,295.307,321.482,315.327,316.451,0.606862,0.606862,0.083115,0.0831225
85,295.307,321.482,315.327,316.451,0.606862,0.606862,0.083115,0.0831225
86,295.307,321.483,315.328,316.452,0.606862,0.606862,0.083115,0.0831225
86,295.307,321.483,315.328,316.452,0.606862,0.606862,0.083115,0.0831225
90,295.307,321.489,315.331,316.454,0.606862,0.606862,0.083115,0.0831226
90,295.307,321.489,315.331,316.454,0.606862,0.606862,0.083115,0.0831226
91,295.307,321.49,315.332,316.455,0.606862,0.606862,0.083115,0.0831226
91,295.307,321.49,315.332,316.455,0.606862,0.606862,0.083115,0.0831226
95,295.307,321.495,315.335,316.458,0.606862,0.606862,0.083115,0.0831227
95,295.307,321.495,315.335,316.458,0.606862,0.606862,0.083115,0.0831227
96,295.307,321.496,315.336,316.459,0.606862,0.606862,0.083115,0.0831227
96,295.307,321.496,315.336,316.459,0.606862,0.606862,0.083115,0.0831227
100,295.307,321.502,315.339,316.462,0.606862,0.606862,0.083115,0.0831228
100,295.307,321.502,315.339,316.462,0.606862,0.606862,0.083115,0.0831228
101,295.307,321.503,315.34,316.462,0.606862,0.606862,0.083115,0.0831228
101,295.307,321.503,315.34,316.462,0.606862,0.606862,0.083115,0.0831228
105,295.307,321.508,315.344,316.465,0.606862,0.606862,0.083115,0.0831228
105,295.307,321.508,315.344,316.465,0.606862,0.606862,0.083115,0.0831228
106,295.307,321.51,315.344,316.466,0.606862,0.606862,0.083115,0.0831229
106,295.307,321.51,315.344,316.466,0.606862,0.606862,0.083115,0.0831229
110,295.307,321.515,315.348,316.469,0.606862,0.606862,0.083115,0.0831229
110,295.307,321.515,315.348,316.469,0.606862,0.606862,0.083115,0.0831229
111,295.307,321.516,315.349,316.47,0.606862,0.606862,0.083115,0.0831229
111,295.307,321.516,315.349,316.47,0.606862,0.606862,0.083115,0.0831229
115,295.307,321.521,315.352,316.473,0.606862,0.606862,0.083115,0.083123
115,295.307,321.521,315.352,316.473,0.606862,0.606862,0.083115,0.083123
116,295.307,321.523,315.353,316.473,0.606862,0.606862,0.083115,0.083123
116,295.307,321.523,315.353,316.473,0.606862,0.606862,0.083115,0.083123
120,295.307,321.528,315.356,316.476,0.606862,0.606862,0.083115,0.083123
120,295.307,321.528,315.356,316.476,0.606862,0.606862,0.083115,0.083123
121,295.307,321.529,315.357,316.477,0.606862,0.606862,0.083115,0.083123
121,295.307,321.529,315.357,316.477,0.606862,0.606862,0.083115,0.083123
125,295.307,321.534,315.361,316.48,0.606862,0.606862,0.083115,0.0831231
125,295.307,321.534,315.361,316.48,0.606862,0.606862,0.083115,0.0831231
126,295.307,321.536,315.362,316.481,0.606862,0.606862,0.083115,0.0831231
126,295.307,321.536,315.362,316.481,0.606862,0.606862,0.083115,0.0831231
130,295.307,321.541,315.365,316.484,0.606862,0.606862,0.083115,0.0831231
130,295.307,321.541,315.365,316.484,0.606862,0.606862,0.083115,0.0831231
131,295.307,321.542,315.366,316.484,0.606862,0.606862,0.083115,0.0831231
131,295.307,321.542,315.366,316.484,0.606862,0.606862,0.083115,0.0831231
135,295.307,321.548,315.369,316.487,0.606862,0.606862,0.083115,0.0831232
135,295.307,321.548,315.369,316.487,0.606862,0.606862,0.083115,0.0831232
136,295.307,321.549,315.37,316.488,0.606862,0.606862,0.083115,0.0831232
136,295.307,321.549,315.37,316.488,0.606862,0.606862,0.083115,0.0831232
140,295.307,321.554,315.374,316.491,0.606862,0.606862,0.083115,0.0831232
140,295.307,321.554,315.374,316.491,0.606862,0.606862,0.083115,0.0831232
141,295.307,321.555,315.375,316.492,0.606862,0.606862,0.083115,0.0831232
141,295.307,321.555,315.375,316.492,0.606862,0.606862,0.083115,0.0831232
145,295.307,321.561,315.378,316.495,0.606862,0.606862,0.083115,0.0831232
145,295.307,321.561,315.378,316.495,0.606862,0.606862,0.083115,0.0831232
146,295.307,321.562,315.379,316.496,0.606862,0.606862,0.083115,0.0831232
146,295.307,321.562,315.379,316.496,0.606862,0.606862,0.083115,0.0831232
150,295.307,321.567,315.382,316.499,0.606862,0.606862,0.083115,0.0831233
150,295.307,321.567,315.382,316.499,0.606862,0.606862,0.083115,0.0831233
151,295.307,321.569,315.383,316.499,0.606862,0.606862,0.083115,0.0831233
151,295.307,321.569,315.383,316.499,0.606862,0.606862,0.083115,0.0831233
155,295.307,321.574,315.387,316.502,0.606862,0.606862,0.083115,0.0831233
155,295.307,321.574,315.387,316.502,0.606862,0.606862,0.083115,0.0831233
156,295.307,321.575,315.388,316.503,0.606862,0.606862,0.083115,0.0831233
156,295.307,321.575,315.388,316.503,0.606862,0.606862,0.083115,0.0831233
160,295.307,321.58,315.391,316.506,0.606862,0.606862,0.083115,0.0831233
160,295.307,321.58,315.391,316.506,0.606862,0.606862,0.083115,0.0831233
161,295.307,321.582,315.392,316.507,0.606862,0.606862,0.083115,0.0831233
161,295.307,321.582,315.392,316.507,0.606862,0.606862,0.083115,0.0831233
165,295.307,321.587,315.396,316.51,0.606862,0.606862,0.083115,0.0831233
165,295.307,321.587,315.396,316.51,0.606862,0.606862,0.083115,0.0831233
166,295.307,321.588,315.397,316.511,0.606862,0.606862,0.083115,0.0831233
166,295.307,321.588,315.397,316.511,0.606862,0.606862,0.083115,0.0831233
170,295.307,321.593,315.4,316.514,0.606862,0.606862,0.083115,0.0831233
170,295.307,321.593,315.4,316.514,0.606862,0.606862,0.083115,0.0831233
171,295.307,321.595,315.401,316.515,0.606862,0.606862,0.083115,0.0831233
171,295.307,321.595,315.401,316.515,0.606862,0.606862,0.083115,0.0831233
175,295.307,321.6,315.404,316.518,0.606862,0.606862,0.083115,0.0831233
175,295.307,321.6,315.404,316.518,0.606862,0.606862,0.083115,0.0831233
176,295.307,321.601,315.405,316.518,0.606862,0.606862,0.083115,0.0831233
176,295.307,321.601,315.405,316.518,0.606862,0.606862,0.083115,0.0831233
180,295.307,321.607,315.409,316.521,0.606862,0.606862,0.083115,0.0831234
180,295.307,321.607,315.409,316.521,0.606862,0.606862,0.083115,0.0831234
181,295.307,321.608,315.41,316.522,0.606862,0.606862,0.083115,0.0831234
181,295.307,321.608,315.41,316.522,0.606862,0.606862,0.083115,0.0831234
185,295.307,321.613,315.413,316.525,0.606862,0.606862,0.083115,0.0831234
185,295.307,321.613,315.413,316.525,0.606862,0.606862,0.083115,0.0831234
186,295.307,321.614,315.414,316.526,0.606862,0.606862,0.083115,0.0831234
186,295.307,321.614,315.414,316.526,0.606862,0.606862,0.083115,0.0831234
190,295.307,321.62,315.418,316.529,0.606862,0.606862,0.083115,0.0831234
190,295.307,321.62,315.418,316.529,0.606862,0.606862,0.083115,0.0831234
191,295.307,321.621,315.419,316.53,0.606862,0.606862,0.083115,0.0831234
191,295.307,321.621,315.419,316.53,0.606862,0.606862,0.083115,0.0831234
195,295.307,321.626,315.422,316.533,0.606862,0.606862,0.083115,0.0831234
195,295.307,321.626,315.422,316.533,0.606862,0.606862,0.083115,0.0831234
196,295.307,321.628,315.423,316.534,0.606862,0.606862,0.083115,0.0831234
196,295.307,321.628,315.423,316.534,0.606862,0.606862,0.083115,0.0831234
200,295.307,321.633,315.427,316.537,0.606862,0.606862,0.083115,0.0831234
200,295.307,321.633,315.427,316.537,0.606862,0.606862,0.083115,0.0831234
201,295.307,321.634,315.427,316.537,0.606862,0.606862,0.083115,0.0831234
