time,T_gasOut.T,T_gasIn.T,T_waterIn.T,T_waterOut.T,T_gasIn.inlet.m_flow,T_gasOut.inlet.m_flow,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow
0,314.561,321.371,295.307,316.87,0.567217,0.567217,0.083115,0.083115
0,314.561,321.371,295.307,316.87,0.567217,0.567217,0.083115,0.083115
0,314.561,321.371,295.307,316.87,0.567217,0.567217,0.083115,0.083115
0.000461548,314.561,321.371,295.307,316.87,0.567217,0.567217,0.083115,0.083115
0.000461548,314.561,321.371,295.307,316.87,0.567217,0.567217,0.083115,0.083115
1,314.561,321.372,295.307,316.87,0.567263,0.567263,0.083115,0.0831151
1,314.561,321.372,295.307,316.87,0.567263,0.567263,0.083115,0.0831151
5,314.563,321.377,295.307,316.871,0.567446,0.567447,0.083115,0.0831163
5,314.563,321.377,295.307,316.871,0.567446,0.567447,0.083115,0.0831163
5,314.563,321.377,295.307,316.871,0.567446,0.567447,0.083115,0.0831163
5,314.563,321.377,295.307,316.871,0.567446,0.567447,0.083115,0.0831163
6,314.564,321.378,295.307,316.871,0.567492,0.567492,0.083115,0.0831166
6,314.564,321.378,295.307,316.871,0.567492,0.567492,0.083115,0.0831166
10,314.566,321.384,295.307,316.872,0.567675,0.567676,0.083115,0.0831176
10,314.566,321.384,295.307,316.872,0.567675,0.567676,0.083115,0.0831176
11,314.567,321.385,295.307,316.872,0.567721,0.567722,0.083115,0.0831179
11,314.567,321.385,295.307,316.872,0.567721,0.567722,0.083115,0.0831179
15,314.57,321.39,295.307,316.873,0.567904,0.567905,0.083115,0.0831188
15,314.57,321.39,295.307,316.873,0.567904,0.567905,0.083115,0.0831188
16,314.57,321.392,295.307,316.874,0.56795,0.567951,0.083115,0.083119
16,314.57,321.392,295.307,316.874,0.56795,0.567951,0.083115,0.083119
20,314.573,321.397,295.307,316.875,0.568134,0.568134,0.083115,0.0831198
20,314.573,321.397,295.307,316.875,0.568134,0.568134,0.083115,0.0831198
21,314.574,321.398,295.307,316.876,0.568179,0.56818,0.083115,0.08312
21,314.574,321.398,295.307,316.876,0.568179,0.56818,0.083115,0.08312
25,314.578,321.403,295.307,316.877,0.568363,0.568363,0.083115,0.0831208
25,314.578,321.403,295.307,316.877,0.568363,0.568363,0.083115,0.0831208
26,314.578,321.405,295.307,316.878,0.568409,0.568409,0.083115,0.0831209
26,314.578,321.405,295.307,316.878,0.568409,0.568409,0.083115,0.0831209
30,314.582,321.41,295.307,316.88,0.568592,0.568592,0.083115,0.0831216
30,314.582,321.41,295.307,316.88,0.568592,0.568592,0.083115,0.0831216
31,314.583,321.411,295.307,316.881,0.568638,0.568638,0.083115,0.0831217
31,314.583,321.411,295.307,316.881,0.568638,0.568638,0.083115,0.0831217
35,314.587,321.416,295.307,316.883,0.568821,0.568822,0.083115,0.0831223
35,314.587,321.416,295.307,316.883,0.568821,0.568822,0.083115,0.0831223
36,314.588,321.418,295.307,316.884,0.568867,0.568867,0.083115,0.0831224
36,314.588,321.418,295.307,316.884,0.568867,0.568867,0.083115,0.0831224
40,314.592,321.423,295.307,316.886,0.56905,0.569051,0.083115,0.0831229
40,314.592,321.423,295.307,316.886,0.56905,0.569051,0.083115,0.0831229
41,314.593,321.424,295.307,316.887,0.569096,0.569097,0.083115,0.083123
41,314.593,321.424,295.307,316.887,0.569096,0.569097,0.083115,0.083123
45,314.597,321.43,295.307,316.89,0.569279,0.56928,0.083115,0.0831235
45,314.597,321.43,295.307,316.89,0.569279,0.56928,0.083115,0.0831235
46,314.598,321.431,295.307,316.89,0.569325,0.569326,0.083115,0.0831236
46,314.598,321.431,295.307,316.89,0.569325,0.569326,0.083115,0.0831236
50,314.602,321.436,295.307,316.893,0.569509,0.569509,0.083115,0.0831239
50,314.602,321.436,295.307,316.893,0.569509,0.569509,0.083115,0.0831239
51,314.603,321.437,295.307,316.894,0.569554,0.569555,0.083115,0.083124
51,314.603,321.437,295.307,316.894,0.569554,0.569555,0.083115,0.083124
55,314.608,321.443,295.307,316.897,0.569738,0.569738,0.083115,0.0831244
55,314.608,321.443,295.307,316.897,0.569738,0.569738,0.083115,0.0831244
56,314.609,321.444,295.307,316.897,0.569784,0.569784,0.083115,0.0831244
56,314.609,321.444,295.307,316.897,0.569784,0.569784,0.083115,0.0831244
60,314.613,321.449,295.307,316.901,0.569967,0.569967,0.083115,0.0831247
60,314.613,321.449,295.307,316.901,0.569967,0.569967,0.083115,0.0831247
61,314.614,321.451,295.307,316.901,0.570013,0.570013,0.083115,0.0831248
61,314.614,321.451,295.307,316.901,0.570013,0.570013,0.083115,0.0831248
65,314.619,321.456,295.307,316.904,0.570196,0.570197,0.083115,0.0831251
65,314.619,321.456,295.307,316.904,0.570196,0.570197,0.083115,0.0831251
66,314.62,321.457,295.307,316.905,0.570242,0.570242,0.083115,0.0831251
66,314.62,321.457,295.307,316.905,0.570242,0.570242,0.083115,0.0831251
70,314.625,321.462,295.307,316.908,0.570425,0.570426,0.083115,0.0831253
70,314.625,321.462,295.307,316.908,0.570425,0.570426,0.083115,0.0831253
71,314.626,321.464,295.307,316.909,0.570471,0.570472,0.083115,0.0831254
71,314.626,321.464,295.307,316.909,0.570471,0.570472,0.083115,0.0831254
75,314.631,321.469,295.307,316.913,0.570654,0.570655,0.083115,0.0831256
75,314.631,321.469,295.307,316.913,0.570654,0.570655,0.083115,0.0831256
76,314.632,321.47,295.307,316.913,0.5707,0.570701,0.083115,0.0831256
76,314.632,321.47,295.307,316.913,0.5707,0.570701,0.083115,0.0831256
80,314.637,321.475,295.307,316.917,0.570884,0.570884,0.083115,0.0831258
