time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
0,0.606862,0.606862,0.606862,0.606862
0,0.606862,0.606862,0.606862,0.606862
0,0.606862,0.606862,0.606862,0.606862
0.2,0.606862,0.606862,0.606862,0.606862
0.2,0.606862,0.606862,0.606862,0.606862
1,0.606862,0.606862,0.606862,0.606862
1,0.606862,0.606862,0.606862,0.606862
2,0.606862,0.606862,0.606862,0.606862
2,0.606862,0.606862,0.606862,0.606862
2,0.606862,0.606862,0.606862,0.606862
2,0.606862,0.606862,0.606862,0.606862
2.2,0.606862,0.606862,0.606862,0.606862
2.2,0.606862,0.606862,0.606862,0.606862
3,0.606862,0.606862,0.606862,0.606862
3,0.606862,0.606862,0.606862,0.606862
3.2,0.606862,0.606862,0.606862,0.606862
3.2,0.606862,0.606862,0.606862,0.606862
4,0.606862,0.606862,0.606862,0.606862
4,0.606862,0.606862,0.606862,0.606862
4.2,0.606862,0.606862,0.606862,0.606862
4.2,0.606862,0.606862,0.606862,0.606862
5,0.606862,0.606862,0.606862,0.606862
5,0.606862,0.606862,0.606862,0.606862
5.2,0.606862,0.606862,0.606862,0.606862
5.2,0.606862,0.606862,0.606862,0.606862
6,0.606862,0.606862,0.606862,0.606862
6,0.606862,0.606862,0.606862,0.606862
6.2,0.606862,0.606862,0.606862,0.606862
6.2,0.606862,0.606862,0.606862,0.606862
7,0.606862,0.606862,0.606862,0.606862
7,0.606862,0.606862,0.606862,0.606862
7.2,0.606862,0.606862,0.606862,0.606862
7.2,0.606862,0.606862,0.606862,0.606862
8,0.606862,0.606862,0.606862,0.606862
8,0.606862,0.606862,0.606862,0.606862
8.2,0.606862,0.606862,0.606862,0.606862
8.2,0.606862,0.606862,0.606862,0.606862
9,0.606862,0.606862,0.606862,0.606862
9,0.606862,0.606862,0.606862,0.606862
9.2,0.606862,0.606862,0.606862,0.606862
9.2,0.606862,0.606862,0.606862,0.606862
10,0.606862,0.606862,0.606862,0.606862
10,0.606862,0.606862,0.606862,0.606862
10.2,0.606862,0.606862,0.606862,0.606862
10.2,0.606862,0.606862,0.606862,0.606862
11,0.606862,0.606862,0.606862,0.606862
11,0.606862,0.606862,0.606862,0.606862
11.2,0.606862,0.606862,0.606862,0.606862
11.2,0.606862,0.606862,0.606862,0.606862
12,0.606862,0.606862,0.606862,0.606862
12,0.606862,0.606862,0.606862,0.606862
12.2,0.606862,0.606862,0.606862,0.606862
12.2,0.606862,0.606862,0.606862,0.606862
13,0.606862,0.606862,0.606862,0.606862
13,0.606862,0.606862,0.606862,0.606862
13.2,0.606862,0.606862,0.606862,0.606862
13.2,0.606862,0.606862,0.606862,0.606862
14,0.606862,0.606862,0.606862,0.606862
14,0.606862,0.606862,0.606862,0.606862
14.2,0.606862,0.606862,0.606862,0.606862
14.2,0.606862,0.606862,0.606862,0.606862
15,0.606862,0.606862,0.606862,0.606862
15,0.606862,0.606862,0.606862,0.606862
15.2,0.606862,0.606862,0.606862,0.606862
15.2,0.606862,0.606862,0.606862,0.606862
16,0.606862,0.606862,0.606862,0.606862
16,0.606862,0.606862,0.606862,0.606862
16.2,0.606862,0.606862,0.606862,0.606862
