"time","T_gasIn.T","T_gasOut.T","T_waterIn.T","T_waterOut.T"
0,376.373,369.525,302.06,372.778
0,376.373,369.525,302.06,372.778
0,376.373,369.525,302.06,372.778
1,376.373,369.525,302.06,372.778
1,376.373,369.525,302.06,372.778
5,376.373,369.525,302.06,372.778
5,376.373,369.525,302.06,372.778
5,376.373,369.525,302.06,372.778
5,376.373,369.525,302.06,372.778
6,376.373,369.525,302.06,372.778
6,376.373,369.525,302.06,372.778
10,376.373,369.525,302.06,372.778
10,376.373,369.525,302.06,372.778
11,376.373,369.525,302.06,372.778
11,376.373,369.525,302.06,372.778
15,376.373,369.525,302.06,372.778
15,376.373,369.525,302.06,372.778
16,376.373,369.525,302.06,372.778
16,376.373,369.525,302.06,372.778
20,376.373,369.525,302.06,372.778
20,376.373,369.525,302.06,372.778
21,376.373,369.525,302.06,372.778
21,376.373,369.525,302.06,372.778
25,376.373,369.525,302.06,372.778
25,376.373,369.525,302.06,372.778
26,376.373,369.525,302.06,372.778
26,376.373,369.525,302.06,372.778
30,376.373,369.525,302.06,372.778
30,376.373,369.525,302.06,372.778
31,376.373,369.525,302.06,372.778
31,376.373,369.525,302.06,372.778
35,376.373,369.525,302.06,372.778
35,376.373,369.525,302.06,372.778
36,376.373,369.525,302.06,372.778
36,376.373,369.525,302.06,372.778
40,376.373,369.525,302.06,372.778
40,376.373,369.525,302.06,372.778
41,376.373,369.525,302.06,372.778
41,376.373,369.525,302.06,372.778
45,376.373,369.525,302.06,372.778
45,376.373,369.525,302.06,372.778
46,376.373,369.525,302.06,372.778
46,376.373,369.525,302.06,372.778
50,376.373,369.525,302.06,372.778
50,376.373,369.525,302.06,372.778
51,376.373,369.525,302.06,372.778
51,376.373,369.525,302.06,372.778
55,376.373,369.525,302.06,372.778
55,376.373,369.525,302.06,372.778
56,376.373,369.525,302.06,372.778
56,376.373,369.525,302.06,372.778
60,376.373,369.525,302.06,372.778
60,376.373,369.525,302.06,372.778
61,376.373,369.525,302.06,372.778
61,376.373,369.525,302.06,372.778
65,376.373,369.525,302.06,372.778
65,376.373,369.525,302.06,372.778
66,376.373,369.525,302.06,372.778
66,376.373,369.525,302.06,372.778
70,376.373,369.525,302.06,372.778
70,376.373,369.525,302.06,372.778
71,376.373,369.525,302.06,372.778
71,376.373,369.525,302.06,372.778
75,376.373,369.525,302.06,372.778
75,376.373,369.525,302.06,372.778
76,376.373,369.525,302.06,372.778
76,376.373,369.525,302.06,372.778
80,376.373,369.525,302.06,372.778
80,376.373,369.525,302.06,372.778
81,376.373,369.525,302.06,372.778
81,376.373,369.525,302.06,372.778
85,376.373,369.525,302.06,372.778
85,376.373,369.525,302.06,372.778
86,376.373,369.525,302.06,372.778
86,376.373,369.525,302.06,372.778
90,376.373,369.525,302.06,372.778
90,376.373,369.525,302.06,372.778
91,376.373,369.525,302.06,372.778
91,376.373,369.525,302.06,372.778
95,376.373,369.525,302.06,372.778
95,376.373,369.525,302.06,372.778
96,376.373,369.525,302.06,372.778
96,376.373,369.525,302.06,372.778
100,376.373,369.525,302.06,372.778
100,376.373,369.525,302.06,372.778
101,376.373,369.525,302.06,372.778
101,376.373,369.525,302.06,372.778
105,376.373,369.525,302.06,372.778
105,376.373,369.525,302.06,372.778
106,376.373,369.525,302.06,372.778
106,376.373,369.525,302.06,372.778
110,376.373,369.525,302.06,372.778
