time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
0,376.373,359.571,370.344,302.06,1.21894,0.08543
0,376.373,359.571,370.344,302.06,1.21894,0.08543
0,376.373,359.571,370.344,302.06,1.21894,0.08543
1,376.373,359.571,370.344,302.06,1.21894,0.08543
1,376.373,359.571,370.344,302.06,1.21894,0.08543
5,376.373,359.571,370.344,302.06,1.21894,0.08543
5,376.373,359.571,370.344,302.06,1.21894,0.08543
5,376.373,359.571,370.344,302.06,1.21894,0.08543
5,376.373,359.571,370.344,302.06,1.21894,0.08543
6,376.373,359.571,370.344,302.06,1.21894,0.08543
6,376.373,359.571,370.344,302.06,1.21894,0.08543
10,376.373,359.571,370.344,302.06,1.21894,0.08543
10,376.373,359.571,370.344,302.06,1.21894,0.08543
11,376.373,359.571,370.344,302.06,1.21894,0.08543
11,376.373,359.571,370.344,302.06,1.21894,0.08543
15,376.373,359.571,370.344,302.06,1.21894,0.08543
15,376.373,359.571,370.344,302.06,1.21894,0.08543
16,376.373,359.571,370.344,302.06,1.21894,0.08543
16,376.373,359.571,370.344,302.06,1.21894,0.08543
20,376.373,359.571,370.344,302.06,1.21894,0.08543
20,376.373,359.571,370.344,302.06,1.21894,0.08543
21,376.373,359.571,370.344,302.06,1.21894,0.08543
21,376.373,359.571,370.344,302.06,1.21894,0.08543
25,376.373,359.571,370.344,302.06,1.21894,0.08543
25,376.373,359.571,370.344,302.06,1.21894,0.08543
26,376.373,359.571,370.344,302.06,1.21894,0.08543
26,376.373,359.571,370.344,302.06,1.21894,0.08543
30,376.373,359.571,370.344,302.06,1.21894,0.08543
30,376.373,359.571,370.344,302.06,1.21894,0.08543
31,376.373,359.571,370.344,302.06,1.21894,0.08543
31,376.373,359.571,370.344,302.06,1.21894,0.08543
35,376.373,359.571,370.344,302.06,1.21894,0.08543
35,376.373,359.571,370.344,302.06,1.21894,0.08543
36,376.373,359.571,370.344,302.06,1.21894,0.08543
36,376.373,359.571,370.344,302.06,1.21894,0.08543
40,376.373,359.571,370.344,302.06,1.21894,0.08543
40,376.373,359.571,370.344,302.06,1.21894,0.08543
41,376.373,359.571,370.344,302.06,1.21894,0.08543
41,376.373,359.571,370.344,302.06,1.21894,0.08543
45,376.373,359.571,370.344,302.06,1.21894,0.08543
45,376.373,359.571,370.344,302.06,1.21894,0.08543
