time,T_waterOut.T,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
0,374.509,376.373,369.428,302.06,1.21894,0.08543
0,374.509,376.373,369.428,302.06,1.21894,0.08543
0,374.509,376.373,369.428,302.06,1.21894,0.08543
1,374.509,376.373,369.428,302.06,1.21894,0.08543
1,374.509,376.373,369.428,302.06,1.21894,0.08543
5,374.509,376.373,369.428,302.06,1.21894,0.08543
5,374.509,376.373,369.428,302.06,1.21894,0.08543
5,374.509,376.373,369.428,302.06,1.21894,0.08543
5,374.509,376.373,369.428,302.06,1.21894,0.08543
6,374.509,376.373,369.428,302.06,1.21894,0.08543
6,374.509,376.373,369.428,302.06,1.21894,0.08543
10,374.509,376.373,369.428,302.06,1.21894,0.08543
10,374.509,376.373,369.428,302.06,1.21894,0.08543
11,374.509,376.373,369.428,302.06,1.21894,0.08543
11,374.509,376.373,369.428,302.06,1.21894,0.08543
15,374.509,376.373,369.428,302.06,1.21894,0.08543
15,374.509,376.373,369.428,302.06,1.21894,0.08543
16,374.509,376.373,369.428,302.06,1.21894,0.08543
16,374.509,376.373,369.428,302.06,1.21894,0.08543
20,374.509,376.373,369.428,302.06,1.21894,0.08543
20,374.509,376.373,369.428,302.06,1.21894,0.08543
21,374.509,376.373,369.428,302.06,1.21894,0.08543
21,374.509,376.373,369.428,302.06,1.21894,0.08543
25,374.509,376.373,369.428,302.06,1.21894,0.08543
25,374.509,376.373,369.428,302.06,1.21894,0.08543
26,374.509,376.373,369.428,302.06,1.21894,0.08543
26,374.509,376.373,369.428,302.06,1.21894,0.08543
30,374.509,376.373,369.428,302.06,1.21894,0.08543
30,374.509,376.373,369.428,302.06,1.21894,0.08543
31,374.509,376.373,369.428,302.06,1.21894,0.08543
31,374.509,376.373,369.428,302.06,1.21894,0.08543
35,374.509,376.373,369.428,302.06,1.21894,0.08543
35,374.509,376.373,369.428,302.06,1.21894,0.08543
36,374.509,376.373,369.428,302.06,1.21894,0.08543
36,374.509,376.373,369.428,302.06,1.21894,0.08543
40,374.509,376.373,369.428,302.06,1.21894,0.08543
40,374.509,376.373,369.428,302.06,1.21894,0.08543
41,374.509,376.373,369.428,302.06,1.21894,0.08543
41,374.509,376.373,369.428,302.06,1.21894,0.08543
45,374.509,376.373,369.428,302.06,1.21894,0.08543
45,374.509,376.373,369.428,302.06,1.21894,0.08543
46,374.509,376.373,369.428,302.06,1.21894,0.08543
46,374.509,376.373,369.428,302.06,1.21894,0.08543
50,374.509,376.373,369.428,302.06,1.21894,0.08543
50,374.509,376.373,369.428,302.06,1.21894,0.08543
51,374.509,376.373,369.428,302.06,1.21894,0.08543
51,374.509,376.373,369.428,302.06,1.21894,0.08543
55,374.509,376.373,369.428,302.06,1.21894,0.08543
55,374.509,376.373,369.428,302.06,1.21894,0.08543
56,374.509,376.373,369.428,302.06,1.21894,0.08543
56,374.509,376.373,369.428,302.06,1.21894,0.08543
60,374.509,376.373,369.428,302.06,1.21894,0.08543
60,374.509,376.373,369.428,302.06,1.21894,0.08543
61,374.509,376.373,369.428,302.06,1.21894,0.08543
61,374.509,376.373,369.428,302.06,1.21894,0.08543
65,374.509,376.373,369.428,302.06,1.21894,0.08543
65,374.509,376.373,369.428,302.06,1.21894,0.08543
66,374.509,376.373,369.428,302.06,1.21894,0.08543
66,374.509,376.373,369.428,302.06,1.21894,0.08543
70,374.509,376.373,369.428,302.06,1.21894,0.08543
70,374.509,376.373,369.428,302.06,1.21894,0.08543
71,374.509,376.373,369.428,302.06,1.21894,0.08543
71,374.509,376.373,369.428,302.06,1.21894,0.08543
75,374.509,376.373,369.428,302.06,1.21894,0.08543
75,374.509,376.373,369.428,302.06,1.21894,0.08543
76,374.509,376.373,369.428,302.06,1.21894,0.08543
76,374.509,376.373,369.428,302.06,1.21894,0.08543
80,374.509,376.373,369.428,302.06,1.21894,0.08543
80,374.509,376.373,369.428,302.06,1.21894,0.08543
81,374.509,376.373,369.428,302.06,1.21894,0.08543
81,374.509,376.373,369.428,302.06,1.21894,0.08543
85,374.509,376.373,369.428,302.06,1.21894,0.08543
85,374.509,376.373,369.428,302.06,1.21894,0.08543
