time,T_waterOut.T,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
0,373.793,376.373,369.468,302.06,1.21894,0.08543
0,373.793,376.373,369.468,302.06,1.21894,0.08543
0,373.793,376.373,369.468,302.06,1.21894,0.08543
1,373.793,376.373,369.468,302.06,1.21894,0.08543
1,373.793,376.373,369.468,302.06,1.21894,0.08543
5,373.793,376.373,369.468,302.06,1.21894,0.08543
5,373.793,376.373,369.468,302.06,1.21894,0.08543
5,373.793,376.373,369.468,302.06,1.21894,0.08543
5,373.793,376.373,369.468,302.06,1.21894,0.08543
6,373.793,376.373,369.468,302.06,1.21894,0.08543
6,373.793,376.373,369.468,302.06,1.21894,0.08543
10,373.793,376.373,369.468,302.06,1.21894,0.08543
10,373.793,376.373,369.468,302.06,1.21894,0.08543
11,373.793,376.373,369.468,302.06,1.21894,0.08543
11,373.793,376.373,369.468,302.06,1.21894,0.08543
15,373.793,376.373,369.468,302.06,1.21894,0.08543
15,373.793,376.373,369.468,302.06,1.21894,0.08543
16,373.793,376.373,369.468,302.06,1.21894,0.08543
16,373.793,376.373,369.468,302.06,1.21894,0.08543
20,373.793,376.373,369.468,302.06,1.21894,0.08543
20,373.793,376.373,369.468,302.06,1.21894,0.08543
21,373.793,376.373,369.468,302.06,1.21894,0.08543
21,373.793,376.373,369.468,302.06,1.21894,0.08543
25,373.793,376.373,369.468,302.06,1.21894,0.08543
25,373.793,376.373,369.468,302.06,1.21894,0.08543
26,373.793,376.373,369.468,302.06,1.21894,0.08543
26,373.793,376.373,369.468,302.06,1.21894,0.08543
30,373.793,376.373,369.468,302.06,1.21894,0.08543
30,373.793,376.373,369.468,302.06,1.21894,0.08543
31,373.793,376.373,369.468,302.06,1.21894,0.08543
31,373.793,376.373,369.468,302.06,1.21894,0.08543
35,373.793,376.373,369.468,302.06,1.21894,0.08543
35,373.793,376.373,369.468,302.06,1.21894,0.08543
36,373.793,376.373,369.468,302.06,1.21894,0.08543
36,373.793,376.373,369.468,302.06,1.21894,0.08543
40,373.793,376.373,369.468,302.06,1.21894,0.08543
40,373.793,376.373,369.468,302.06,1.21894,0.08543
41,373.793,376.373,369.468,302.06,1.21894,0.08543
41,373.793,376.373,369.468,302.06,1.21894,0.08543
45,373.793,376.373,369.468,302.06,1.21894,0.08543
45,373.793,376.373,369.468,302.06,1.21894,0.08543
46,373.793,376.373,369.468,302.06,1.21894,0.08543
46,373.793,376.373,369.468,302.06,1.21894,0.08543
50,373.793,376.373,369.468,302.06,1.21894,0.08543
50,373.793,376.373,369.468,302.06,1.21894,0.08543
51,373.793,376.373,369.468,302.06,1.21894,0.08543
51,373.793,376.373,369.468,302.06,1.21894,0.08543
55,373.793,376.373,369.468,302.06,1.21894,0.08543
55,373.793,376.373,369.468,302.06,1.21894,0.08543
56,373.793,376.373,369.468,302.06,1.21894,0.08543
56,373.793,376.373,369.468,302.06,1.21894,0.08543
60,373.793,376.373,369.468,302.06,1.21894,0.08543
60,373.793,376.373,369.468,302.06,1.21894,0.08543
61,373.793,376.373,369.468,302.06,1.21894,0.08543
61,373.793,376.373,369.468,302.06,1.21894,0.08543
65,373.793,376.373,369.468,302.06,1.21894,0.08543
65,373.793,376.373,369.468,302.06,1.21894,0.08543
66,373.793,376.373,369.468,302.06,1.21894,0.08543
66,373.793,376.373,369.468,302.06,1.21894,0.08543
70,373.793,376.373,369.468,302.06,1.21894,0.08543
70,373.793,376.373,369.468,302.06,1.21894,0.08543
71,373.793,376.373,369.468,302.06,1.21894,0.08543
71,373.793,376.373,369.468,302.06,1.21894,0.08543
75,373.793,376.373,369.468,302.06,1.21894,0.08543
75,373.793,376.373,369.468,302.06,1.21894,0.08543
76,373.793,376.373,369.468,302.06,1.21894,0.08543
76,373.793,376.373,369.468,302.06,1.21894,0.08543
80,373.793,376.373,369.468,302.06,1.21894,0.08543
80,373.793,376.373,369.468,302.06,1.21894,0.08543
81,373.793,376.373,369.468,302.06,1.21894,0.08543
81,373.793,376.373,369.468,302.06,1.21894,0.08543
85,373.793,376.373,369.468,302.06,1.21894,0.08543
85,373.793,376.373,369.468,302.06,1.21894,0.08543
86,373.793,376.373,369.468,302.06,1.21894,0.08543
86,373.793,376.373,369.468,302.06,1.21894,0.08543
90,373.793,376.373,369.468,302.06,1.21894,0.08543
90,373.793,376.373,369.468,302.06,1.21894,0.08543
91,373.793,376.373,369.468,302.06,1.21894,0.08543
91,373.793,376.373,369.468,302.06,1.21894,0.08543
95,373.793,376.373,369.468,302.06,1.21894,0.08543
95,373.793,376.373,369.468,302.06,1.21894,0.08543
96,373.793,376.373,369.468,302.06,1.21894,0.08543
96,373.793,376.373,369.468,302.06,1.21894,0.08543
100,373.793,376.373,369.468,302.06,1.21894,0.08543
100,373.793,376.373,369.468,302.06,1.21894,0.08543
101,373.793,376.373,369.468,302.06,1.21894,0.08543
101,373.793,376.373,369.468,302.06,1.21894,0.08543
105,373.793,376.373,369.468,302.06,1.21894,0.08543
105,373.793,376.373,369.468,302.06,1.21894,0.08543
106,373.793,376.373,369.468,302.06,1.21894,0.08543
106,373.793,376.373,369.468,302.06,1.21894,0.08543
110,373.793,376.373,369.468,302.06,1.21894,0.08543
110,373.793,376.373,369.468,302.06,1.21894,0.08543
111,373.793,376.373,369.468,302.06,1.21894,0.08543
111,373.793,376.373,369.468,302.06,1.21894,0.08543
115,373.793,376.373,369.468,302.06,1.21894,0.08543
115,373.793,376.373,369.468,302.06,1.21894,0.08543
116,373.793,376.373,369.468,302.06,1.21894,0.08543
116,373.793,376.373,369.468,302.06,1.21894,0.08543
120,373.793,376.373,369.468,302.06,1.21894,0.08543
120,373.793,376.373,369.468,302.06,1.21894,0.08543
121,373.793,376.373,369.468,302.06,1.21894,0.08543
121,373.793,376.373,369.468,302.06,1.21894,0.08543
125,373.793,376.373,369.468,302.06,1.21894,0.08543
125,373.793,376.373,369.468,302.06,1.21894,0.08543
126,373.793,376.373,369.468,302.06,1.21894,0.08543
126,373.793,376.373,369.468,302.06,1.21894,0.08543
130,373.793,376.373,369.468,302.06,1.21894,0.08543
130,373.793,376.373,369.468,302.06,1.21894,0.08543
131,373.793,376.373,369.468,302.06,1.21894,0.08543
131,373.793,376.373,369.468,302.06,1.21894,0.08543
135,373.793,376.373,369.468,302.06,1.21894,0.08543
135,373.793,376.373,369.468,302.06,1.21894,0.08543
136,373.793,376.373,369.468,302.06,1.21894,0.08543
136,373.793,376.373,369.468,302.06,1.21894,0.08543
140,373.793,376.373,369.468,302.06,1.21894,0.08543
140,373.793,376.373,369.468,302.06,1.21894,0.08543
141,373.793,376.373,369.468,302.06,1.21894,0.08543
141,373.793,376.373,369.468,302.06,1.21894,0.08543
145,373.793,376.373,369.468,302.06,1.21894,0.08543
145,373.793,376.373,369.468,302.06,1.21894,0.08543
146,373.793,376.373,369.468,302.06,1.21894,0.08543
146,373.793,376.373,369.468,302.06,1.21894,0.08543
150,373.793,376.373,369.468,302.06,1.21894,0.08543
150,373.793,376.373,369.468,302.06,1.21894,0.08543
151,373.793,376.373,369.468,302.06,1.21894,0.08543
151,373.793,376.373,369.468,302.06,1.21894,0.08543
155,373.793,376.373,369.468,302.06,1.21894,0.08543
155,373.793,376.373,369.468,302.06,1.21894,0.08543
156,373.793,376.373,369.468,302.06,1.21894,0.08543
156,373.793,376.373,369.468,302.06,1.21894,0.08543
160,373.793,376.373,369.468,302.06,1.21894,0.08543
160,373.793,376.373,369.468,302.06,1.21894,0.08543
161,373.793,376.373,369.468,302.06,1.21894,0.08543
