time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
0,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
0,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
0,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
1,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
1,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
5,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
5,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
5,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
5,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
6,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
6,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
10,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
10,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
11,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
11,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
15,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
15,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
16,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
16,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
20,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
20,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
21,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
21,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
25,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
25,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
26,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
26,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
30,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
30,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
31,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
31,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
35,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
35,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
36,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
36,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
40,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
40,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
41,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
41,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
45,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
45,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
46,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
46,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
50,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
50,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
